"filename", "language", "HTML", "JavaScript", "XML", "pip requirements", "Python", "CSS", "comment", "blank", "total"
"d:\Programming\CAPSTONE\.1 face_rec\CV2Flask_tester.py", "Python", 0, 0, 0, 0, 22, 0, 0, 6, 28
"d:\Programming\CAPSTONE\.1 face_rec\CV_tester.py", "Python", 0, 0, 0, 0, 9, 0, 5, 5, 19
"d:\Programming\CAPSTONE\.1 face_rec\Classifier_tester.py", "Python", 0, 0, 0, 0, 12, 0, 4, 8, 24
"d:\Programming\CAPSTONE\.1 face_rec\app.py", "Python", 0, 0, 0, 0, 179, 0, 16, 59, 254
"d:\Programming\CAPSTONE\.1 face_rec\app2.py", "Python", 0, 0, 0, 0, 179, 0, 17, 59, 255
"d:\Programming\CAPSTONE\.1 face_rec\classifier.xml", "XML", 0, 0, 156793, 0, 0, 0, 0, 1, 156794
"d:\Programming\CAPSTONE\.1 face_rec\requirements.txt", "pip requirements", 0, 0, 0, 49, 0, 0, 0, 0, 49
"d:\Programming\CAPSTONE\.1 face_rec\resources\classifier.xml", "XML", 0, 0, 156793, 0, 0, 0, 0, 1, 156794
"d:\Programming\CAPSTONE\.1 face_rec\resources\haarcascade_frontalface_default.xml", "XML", 0, 0, 29818, 0, 0, 0, 5894, 1, 35713
"d:\Programming\CAPSTONE\.1 face_rec\static\css\bootstrap.min.css", "CSS", 0, 0, 0, 0, 0, 1, 6, 0, 7
"d:\Programming\CAPSTONE\.1 face_rec\static\css\font-awesome.min.css", "CSS", 0, 0, 0, 0, 0, 1, 3, 1, 5
"d:\Programming\CAPSTONE\.1 face_rec\static\css\style.css", "CSS", 0, 0, 0, 0, 0, 8, 0, 2, 10
"d:\Programming\CAPSTONE\.1 face_rec\static\js\bootstrap.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 6, 0, 7
"d:\Programming\CAPSTONE\.1 face_rec\static\js\form.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 5, 29
"d:\Programming\CAPSTONE\.1 face_rec\static\js\jquery.min.js", "JavaScript", 0, 3, 0, 0, 0, 0, 1, 0, 4
"d:\Programming\CAPSTONE\.1 face_rec\templates\addprsn.html", "HTML", 48, 0, 0, 0, 0, 0, 0, 3, 51
"d:\Programming\CAPSTONE\.1 face_rec\templates\fr_page.html", "HTML", 16, 0, 0, 0, 0, 0, 0, 5, 21
"d:\Programming\CAPSTONE\.1 face_rec\templates\gendataset.html", "HTML", 24, 0, 0, 0, 0, 0, 0, 4, 28
"d:\Programming\CAPSTONE\.1 face_rec\templates\head.html", "HTML", 8, 0, 0, 0, 0, 0, 0, 3, 11
"d:\Programming\CAPSTONE\.1 face_rec\templates\index.html", "HTML", 50, 0, 0, 0, 0, 0, 0, 5, 55
"d:\Programming\CAPSTONE\.1 face_rec\templates\navbar.html", "HTML", 8, 0, 0, 0, 0, 0, 2, 0, 10
"d:\Programming\CAPSTONE\.1 face_rec\templates\opencvtester.html", "HTML", 10, 0, 0, 0, 0, 0, 0, 0, 10
"d:\Programming\CAPSTONE\.2 Di kasali to\Homeowner New Era\Members Payment\payment.css", "CSS", 0, 0, 0, 0, 0, 42, 6, 4, 52
"d:\Programming\CAPSTONE\.2 Di kasali to\Homeowner New Era\Members Payment\payment.html", "HTML", 22, 0, 0, 0, 0, 0, 0, 1, 23
