Date : 2024-01-24 10:04:43
Directory : d:\Programming\CAPSTONE
Total : 85 files,  347921 codes, 6301 comments, 820 blanks, all 355042 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| XML              |         10 |    343,446 |      5,894 |          3 |    349,343 |
| HTML             |         37 |      1,796 |        139 |        273 |      2,208 |
| CSS              |         24 |      1,662 |        124 |        285 |      2,071 |
| Python           |          8 |        901 |        137 |        253 |      1,291 |
| pip requirements |          2 |         88 |          0 |          0 |         88 |
| JavaScript       |          4 |         28 |          7 |          6 |         41 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                      | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                         |         85 |    347,921 |      6,301 |        820 |    355,042 |
| . (Files)                                                                                                 |          2 |        503 |         87 |        100 |        690 |
| .1 face_rec                                                                                               |         22 |    344,056 |      5,954 |        168 |    350,178 |
| .1 face_rec (Files)                                                                                       |          7 |    157,243 |         42 |        138 |    157,423 |
| .1 face_rec\resources                                                                                     |          2 |    186,611 |      5,894 |          2 |    192,507 |
| .1 face_rec\static                                                                                        |          6 |         38 |         16 |          8 |         62 |
| .1 face_rec\static\css                                                                                    |          3 |         10 |          9 |          3 |         22 |
| .1 face_rec\static\js                                                                                     |          3 |         28 |          7 |          5 |         40 |
| .1 face_rec\templates                                                                                     |          7 |        164 |          2 |         20 |        186 |
| .2 Di kasali to                                                                                           |         19 |      1,111 |         68 |        137 |      1,316 |
| .2 Di kasali to\Homeowner New Era                                                                         |         13 |        869 |         48 |        103 |      1,020 |
| .2 Di kasali to\Homeowner New Era\Members Payment                                                         |          2 |         64 |          6 |          5 |         75 |
| .2 Di kasali to\Homeowner New Era\Members_info                                                            |          2 |        209 |         10 |         20 |        239 |
| .2 Di kasali to\Homeowner New Era\Payment History                                                         |          2 |        120 |          2 |         12 |        134 |
| .2 Di kasali to\Homeowner New Era\ReminderPayment                                                         |          2 |        117 |          2 |         14 |        133 |
| .2 Di kasali to\Homeowner New Era\account register                                                        |          2 |        287 |         27 |         50 |        364 |
| .2 Di kasali to\Homeowner New Era\payment Reminder                                                        |          3 |         72 |          1 |          2 |         75 |
| .2 Di kasali to\Retes                                                                                     |          6 |        242 |         20 |         34 |        296 |
| .3 To Delete                                                                                              |          6 |        339 |         21 |         86 |        446 |
| .idea                                                                                                     |          5 |         40 |          0 |          0 |         40 |
| .idea (Files)                                                                                             |          4 |         34 |          0 |          0 |         34 |
| .idea\inspectionProfiles                                                                                  |          1 |          6 |          0 |          0 |          6 |
| static                                                                                                    |         16 |      1,005 |         71 |        208 |      1,284 |
| static\css                                                                                                |         14 |      1,004 |         71 |        207 |      1,282 |
